n,b,c,d
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)加强工作落实,""weight"":0.6212893388462561,""entity"":2139}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":及时听取社会各界对政策落实情况的意见建议，主动接受企业和群众监督,""weight"":0.31117366622709364,""entity"":2326}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)加强工作落实,""weight"":0.6212893388462561,""entity"":2139}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":及时听取社会各界对政策落实情况的意见建议，主动接受企业和群众监督,""weight"":0.31117366622709364,""entity"":2326}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)加强工作落实,""weight"":0.6212893388462561,""entity"":2139}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":各部门要切实落实各项改革举措，坚决兑现向社会的承诺事项，加强对政策落实情况的督促检查,""weight"":0.3988741478799665,""entity"":1077}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)加强工作落实,""weight"":0.6212893388462561,""entity"":2139}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":各部门要切实落实各项改革举措，坚决兑现向社会的承诺事项，加强对政策落实情况的督促检查,""weight"":0.3988741478799665,""entity"":1077}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(三)加强实施保障,""weight"":0.5929984648986516,""entity"":3597}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":各区政府、各部门要紧密结合当前的改革实际，以便利群众办事为出发点和落脚点，做好人员安排、硬件设备、协作配合等工作，确保业务流程规范、软硬件支撑到位，部门衔接顺畅,""weight"":0.6777152567144313,""entity"":2909}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(三)加强实施保障,""weight"":0.5929984648986516,""entity"":3597}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":各区政府、各部门要紧密结合当前的改革实际，以便利群众办事为出发点和落脚点，做好人员安排、硬件设备、协作配合等工作，确保业务流程规范、软硬件支撑到位，部门衔接顺畅,""weight"":0.6777152567144313,""entity"":2909}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)加强宣传培训,""weight"":0.7598874976377155,""entity"":1086}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":加强政务服务窗口工作人员服务标准和服务规范培训，有效解决营商环境政策落地""最后一公里""问题,""weight"":0.40753518057656035,""entity"":3754}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)加强宣传培训,""weight"":0.7598874976377155,""entity"":1086}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":加强政务服务窗口工作人员服务标准和服务规范培训，有效解决营商环境政策落地""最后一公里""问题,""weight"":0.40753518057656035,""entity"":3754}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)加强宣传培训,""weight"":0.7598874976377155,""entity"":1086}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":各区政府、各相关部门要做好宣传工作，采取各种形式,全方位、多角度开展政策解读和宣传引导，着力提高政策知晓度和参与度,""weight"":0.46091116628480433,""entity"":2283}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(二)加强宣传培训,""weight"":0.7598874976377155,""entity"":1086}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":各区政府、各相关部门要做好宣传工作，采取各种形式,全方位、多角度开展政策解读和宣传引导，着力提高政策知晓度和参与度,""weight"":0.46091116628480433,""entity"":2283}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(一)加强统筹协调,""weight"":0.6493379059440345,""entity"":938}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":市区两级工作专班统筹推进进一步提高企业开办效率优化营商环境的有关工作，各部门加强沟通协作，确保各项改革举措落实到位，全力保障首都营商环境持续优化,""weight"":0.7421034482719674,""entity"":1595}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(一)加强统筹协调,""weight"":0.6493379059440345,""entity"":938}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":市区两级工作专班统筹推进进一步提高企业开办效率优化营商环境的有关工作，各部门加强沟通协作，确保各项改革举措落实到位，全力保障首都营商环境持续优化,""weight"":0.7421034482719674,""entity"":1595}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,""weight"":1.5464807183805718,""entity"":1761}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":不断完善跨部门联合惩戒机制，建立健全信用约束机制，积极引导企业自律，加强社会监督，使优化营商环境改革成为推动形成新型市场监管体制机制的催化剂,""weight"":0.7732110032315669,""entity"":1577}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,""weight"":1.5464807183805718,""entity"":1761}","{""name"":以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展,""weight"":1.0718707222624564,""entity"":1125}","{""name"":不断完善跨部门联合惩戒机制，建立健全信用约束机制，积极引导企业自律，加强社会监督，使优化营商环境改革成为推动形成新型市场监管体制机制的催化剂,""weight"":0.7732110032315669,""entity"":1577}"
"{""发文字号"":京市监发〔2019〕4号,""主题分类"":综合政务/电子政务,""文件来源"":政府公报 年 第期(总第期),""有效性"":有效,""name"":北京市市场监督管理局 国家税务总局北京市税务局 北京市公安局 北京市人力资源和社会保障局 中国人民银行营业管理部 北京住房公积金管理中心关于深化营商环境改革推进全程网上办理提高企业开办效率的通知,""实施日期"":----,""发布日期"":2019-02-13,""成文日期"":2019-02-02,""entity"":3435,""废止日期"":----}","{""name"":(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,""weight"":1.5464807183805718,""entity"":1761}","{""name"":加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境,""weight"":1.2157251553279411,""entity"":2187}","{""name"":各部门要强化监管理念，按照""谁审批、谁监管，谁主管、谁监管""的原则，主动规范企业经营行为，制定完善监管办法，明确监管标准、监管方式和监管措施，实现公平、公正监管,""weight"":0.994202639635674,""entity"":504}"
