文本框值,字段2,字段3,字段5
商务部,"
中华人民共和国商务部
",中华人民共和国商务部是主管我国国内外贸易和国际经济合作的国务院组成部门，承担制订和实施我国国内外经济贸易政策、推进扩大对外开放的重要职责。,"

中文名

中华人民共和国商务部

外文名

Ministry of Commerce of the People's Republic

办公地址

北京东长安街2号
[22] 


性    质

国务院组成部门

隶属于

中华人民共和国国务院

部    长

王文涛
[8] 

"
北京市交通委员会,,根据中共中央、国务院批准的北京市人民政府机构改革方案和《北京市人民政府关于机构设置的通知》（京政发〔2009〕2号），设立北京市交通委员会（简称市交通委）。,"

中文名

北京市交通委员会

组织性质

政府机构


地    址

北京市六里桥南里甲9号首发大厦B

简    称

北京市交通委

"
北京市发展和改革委员会,"
北京市发展和改革委员会
","北京市发展和改革委员会主要负责北京市国民经济和社会发展统筹协调、经济体制改革综合协调的市政府组成部门。
[2] 
","

中文名

北京市发展和改革委员会

外文名

Beijing Municipal Commission of Development and Reform

办公地址

北京市通州区运河东大街55号院
[1] 

简    称

北京市发改委

机关行政编制

265名


所属单位

北京市人民政府

内设机构

26个

机构设置

办公室，研究室

邮政编码

100031
[1] 

主    任

穆鹏

"
北京市通信管理局,,北京市通信管理局是北京市行政区域内通信行业的主管部门，实行工业和信息化部与北京市政府双重领导，以工业和信息化部为主的管理体制。,"

中文名

北京市通信管理局

所属地区

北京市


管理范围

通信管理

属    性

政府机关

"
北京市人力资源和社会保障局,"
北京市人力资源和社会保障局
","北京市人力资源和社会保障局是北京市人民政府组成部门，为正局级。
[2] 
","

中文名

北京市人力资源和社会保障局

外文名

Beijing Municipal Human Resources and Social Security Bureau

成立时间

2009年2月
[6] 


办公地址

北京市西城区永定门西街5号

性    质

党政机关

行政级别

正局级
[2] 

"
北京海关,"
中华人民共和国北京海关
",北京海关是中华人民共和国海关总署正厅局级直属海关。它前身为总税务司署成立的“总税务司署驻北平办事处”，由总税务司署中文秘书白理查负责办事处工作。,"

中文名

北京海关

外文名

Beijing Customs

成立时间

1951年1月1日

所属部门

中华人民共和国海关总署


现任关长

高玉潮
[2] 

行政职能

进出口管理

办公地点

北京市朝阳区光华路甲10号

地    址

北京市朝阳区光华路甲10号

"
北京市经济和信息化局,"
北京市经济和信息化局
","北京市经济和信息化局（简称市经济和信息化局）是市政府组成部门，为正局级，加挂北京市无线电管理局（简称市无线电局）、北京市大数据管理局（简称市大数据局）、北京市国防科学技术工业办公室（简称市国防科工办）牌子。
[1] 
","

中文名

北京市经济和信息化局

外文名

Beijing Bureau of economy and information technology

成立时间

2018年11月8日


办公地址

北京市通州区运河东大街57号院5号楼　　
[2] 

隶属机构

北京市人民政府

局    长

张劲松
[9] 

"
国家税务总局,,"国家税务总局（State Taxation Administration of The People's Republic of China），为中华人民共和国国务院主管税收工作的直属机构，正部级。
[1-2] 
","

中文名

国家税务总局

外文名

State Taxation Administration of The People's Republic of China
[4] 


职    能

主管税收工作

机关隶属

中华人民共和国国务院

官    网

http://www.chinatax.gov.cn/

"
北京市商务局,,北京市商务局（简称市商务局）是市政府组成部门，为正局级，加挂北京市人民政府口岸办公室（简称市政府口岸办）牌子。,"

中文名

北京市商务局

外文名

Beijing Municipal Commerce Bureau

成立时间

2018年11月
[1] 


办公地址

北京市通州区运河东大街57号院5号楼

性    质

政府机构

行政级别

正局级
[3] 

"
天津海关,,天津海关，是监管进出口贸易的政府部门。历史悠久，始建于1861年。1860年第二次鸦片战争后，清政府被迫与英、法两国签订《北京条约》，规定了“三口通商”。天津被辟为“三口通商”的口岸之一。第二年，清政府在天津设立津海关。,"

公司名称

天津海关

外文名

Tianjin Customs

成立时间

1861年

总部地点

天津市和平区营口道2号
[1] 


经营范围

进出口

公司类型

政府部门

公司口号

忠诚公正，兴关强国

员工数

2000（2014）

始建于

1861年

"
中国银行保险监督管理委员会北京监管局,"
中国银行保险监督管理委员会北京监管局
","中国银行保险监督管理委员会北京监管局是中国银行保险监督管理委员会派出机构。
[1] 
","

中文名

中国银行保险监督管理委员会北京监管局

成立时间

2018年12月17日


办公地址

北京市西城区金融大街20号交通银行大厦B座
[5] 

性    质

派出机构

"
国家发展和改革委员会,"
中华人民共和国国家发展和改革委员会
",中华人民共和国国家发展和改革委员会（National Development and Reform Commission） [1]  ，简称国家发展改革委，是国务院组成部门，为正部级 [2]  。,"

中文名

中华人民共和国国家发展和改革委员会
[1] 

外文名

National Development and Reform Commission


成    立

1952年（原国家计划委员会成立）

官    网

http://www.ndrc.gov.cn/

"
,,,
北京市公安局公安交通管理局,"
北京市公安局公安交通管理局
",北京市公安局公安交通管理局（简称北京市交管局），是市公安局主管全市道路交通安全管理的职能部门。在市公安局的领导下进行工作。,"

中文名

北京市公安局公安交通管理局

外文名

Beijing Traffic Management Bureau

办公地址

北京市西城区阜成门北大街1号


主管单位

北京市公安局

简    称

北京市交管局
[5] 

职    能

主管全市道路交通安全管理

"
中国人民银行,,中国人民银行（The People's Bank Of China，英文简称PBOC），简称央行，是中华人民共和国的中央银行，为国务院组成部门 [1]  。在国务院领导下，制定和执行货币政策，防范和化解金融风险，维护金融稳定。,"

中文名

中国人民银行

外文名

THE PEOPLE'S BANK OF CHINA

总    部

北京（总部）、上海（地区总部）

成    立

1948年12月1日


单位性质

国务院组成部门

官    网

http://www.pbc.gov.cn/

现任行长

易纲
[3] 

主管部门

国务院

"
北京市民政局,,北京市民政局（简称市民政局）是北京市人民政府组成部门，中共北京市委社会工作委员会（简称市委社会工委）是市委派出机构。市委社会工委与市民政局合署办公，为正局级。 ,"

中文名

北京市民政局

外文名

Beijing Municipal Civil Affairs Bureau

成立时间

2009年


办公地址

北京市朝阳区工人体育场东路20号
[1] 

性    质

政府机构

行政级别

正局级
[1] 

局    长

徐志军
[8] 

"
北京市工商业联合会,"
北京市工商业联合会
",北京市工商业联合会（北京市商会）始创于一九五一年六月，是中国共产党领导的以非公有制企业和非公有制经济人士为主体的人民团体和商会组织，是党和政府联系非公有制经济人士的桥梁纽带，是政府管理和服务非公有制经济的助手，在北京市经济、政治、文化、社会生活中有着重要影响，在促进非公有制经济健康发展、引导非公有制经济人士健康成长中具有不可替代的作用。,"

中文名

北京市工商业联合会

外文名

Beijing Federation of Industry & Commerce

成立时间

1951年6月


类    别

人民团体和商会组织

领    域

经济、政治、文化、社会

主    席

燕瑛

"
天津市港航管理局,,天津市港航管理局是2016年7月，经中央编办批准，市委、市政府决定设立的机构。,"

中文名

天津市港航管理局


成立时间

2016年7月

行政级别

副局级

"
北京市档案局,,"2018年11月，北京市机构改革中，将北京市档案局（北京市档案室）的行政职能划归北京市委办公厅，对外加挂市档案局牌子。市档案馆作为市委直属事业单位，归口市委办公厅管理。
[1-2] 
","

中文名

北京市档案局

所属部门

北京市人民政府


所属地区

北京市

现任领导

程勇（局长）

"
天津市商务局,,天津市商务局是天津市政府组成部门，为正局级，加挂市政府口岸服务办公室牌子。,"

中文名

天津市商务局


隶    属

天津市人民政府

"
北京住房公积金管理中心,"
北京住房公积金管理中心
",北京住房公积金管理中心 [1]  （下文简称管理中心），是根据《国务院关于修改<住房公积金管理条例>的决定》（国务院令第350号）决定，经北京市人民政府批准，在北京市住房资金管理中心的基础上，对机构和人员进行重组后，于2002年10月10日组建成立。管理中心同时保留了北京市住房资金管理中心的牌子。,"

中文名

北京住房公积金管理中心

组建时间

2002年10月10日

分中心

3个


垂直管理

24个

处    室

13个

直属事业单位

2个

"
工业和信息化部,"
中华人民共和国工业和信息化部
","中华人民共和国工业和信息化部（简称：工业和信息化部，工信部），是根据2008年3月11日公布的国务院机构改革方案，组建的国务院组成部门。
[13] 
","

中文名

中华人民共和国工业和信息化部

外文名

Ministry of Industry and Information Technology

组建日期

2008年3月11日


类    别

国务院组成部门

部    长

肖亚庆
[1] 

官    网

http://www.miit.gov.cn/

"
北京市人民代表大会常务委员会,"
北京市人民代表大会常务委员会
","北京市人民代表大会常务委员会是北京市人民代表大会的常设机关，对北京市人民代表大会负责并报告工作。
[1] 
","

中文名

北京市人民代表大会常务委员会

外文名

The standing committee of the Beijing municipal people's congress


办公地址

北京市通州区清风路33号
[3] 

性    质

北京市人民代表大会的常设机关
[1] 

"
海关总署,"
中华人民共和国海关总署
",中华人民共和国海关总署（GENERAL ADMINISTRATION OF CUSTOMS.P.R.CHINA），简称“海关总署”，是中华人民共和国国务院直属机构。,"

中文名

中华人民共和国海关总署

英文名

GENERAL ADMINISTRATION OF CUSTOMS.P.R.CHINA

设立时间

1980年2月

现任署长

倪岳峰


机关机构

1

机关属性

1

隶属机关

中华人民共和国国务院

机关驻址

北京市建国门内大街6号
[1] 

"
北京市金融工作局,,北京市金融工作局（简称市金融局）是根据中共中央、国务院批准的北京市人民政府机构改革方案和《北京市人民政府关于机构设置的通知》（京政发〔2009〕2号）而设立的。市金融局是负责促进本市金融发展、金融服务和金融市场建设工作的市政府直属机构。,"

中文名

北京市金融工作局

外文名

Beijing Financial Work Bureau

办公地点

北京市宣武区槐柏树街2号院


局    长

霍学文

副局长

张幼林

副巡视员

沈 鸿

"
北京市社会保险基金管理中心,"
北京市社会保险基金管理中心
",主要职责：负责依照国家和本市社会保险政策，制定各项社会保险经办管理规定并组织实施,"

中文名

北京市社会保险基金管理中心


隶属单位

北京市人社局

"
北京市人民政府国有资产监督管理委员会,"
北京市人民政府国有资产监督管理委员会
",根据中共中央、国务院批准的北京市人民政府机构改革方案和《北京市人民政府关于机构设置的通知》（京政发〔2009〕2号）以及市委市政府《关于印发〈北京市机构改革实施方案〉的通知》（京发〔2018〕31号），设立北京市人民政府国有资产监督管理委员会（简称市国资委），市国资委是市政府授权代表国家履行国有资产出资人职责的市政府直属特设机构。市国资委党委履行市委规定的职责。,"

中文名

北京市人民政府国有资产监督管理委员会

内设机构

设22个内设机构

所获荣誉

七五普法中期先进集体


主    任

张贵林

简    称

市国资委

性    质

市政府直属特设机构

"
北京市财政局,,北京市财政局（简称市财政局）是负责本市财政收支、财税政策、财政监督、行政事业单位国有资产管理工作的市政府组成部门。,"

中文名

北京市财政局

外文名

Beijing Municipal Finance Bureau
[1] 


办公地址

北京市通州区承安路3号院

性    质

政府机构

行政级别

正局级

"
北京市地方税务局,,北京市地方税务局是主管本市地方税收工作的市政府直属机构，业务上接受国家税务总局的指导。北京市地方税务局是根据国务院在实施分税制财政体制及组建中央和地方两个税务机构的总体部署，于1994年8月15日正式成立的。,"

中文名

北京市地方税务局

管理单位

中国国家税务总局

成立日期

1994年


负责人

王晓明

性    质

国家单位

职    能

地方税收

"
北京市审计局,,"北京市审计局，贯彻落实党中央关于审计工作的方针政策、决策部署和市委有关工作要求，在履行职责过程中坚持和加强党对审计工作的统一领导。
[2] 
","

中文名

北京市审计局

外文名

Beijing Municipal Audit Bureau

成立时间

1983年6月


办公地址

北京市丰台区菜户营甲2号

性    质

政府机构

行政级别

正局级

"
北京市城市管理委员会,"
北京市城市管理委员会
","北京市城市管理委员会(首都环境建设管理办)作为本市城市管理主管部门，是负责本市城市管理、城乡环境建设的综合协调和市容环境卫生管理、能源日常运行管理、相关市政公用事业管理的市政府组成部门。
[2] 
","

中文名

北京市城市管理委员会

外文名

Beijing Municipal Commission of Urban Management
[2] 

成立时间

2016年7月22日


办公地址

北京市西城区西单北大街80号
[2] 

性    质

政府机构

行政级别

正局级

"
北京市人民防空办公室,"
北京市人民防空办公室
","北京市人民防空办公室是北京市人民政府直属机构，为正局级。
[1] 
","

中文名

北京市人民防空办公室

办公地址

北京市西城区槐柏树街北里8号
[5] 


行政级别

正局级

隶    属

北京市人民政府

"
北京市规划和自然资源委员会,"
北京市规划和自然资源委员会
",北京市规划和自然资源委员会，按照《北京市机构改革实施方案》，将原市规划和国土资源管理委员会、市勘察设计和测绘地理信息管理办公室的职责，以及市发展和改革委员会的组织编制主体功能区规划职责，市水务局、市园林绿化局的资源调查和确权登记管理职责等整合，组建北京市规划和自然资源委员会，作为市政府组成部门，加挂首都规划建设委员会办公室牌子。,"

中文名

北京市规划和自然资源委员会

办公地址

北京市通州区承安路1号院


性    质

政府机构

行政级别

正局级

"
北京市住房和城乡建设委员会,"
北京市住房和城乡建设委员会
","北京市住房和城乡建设委员会（简称市住房城乡建设委）是市政府组成部门，为正局级，加挂北京市住房保障办公室（简称市住房保障办）牌子。
[2] 
","

中文名

北京市住房和城乡建设委员会

外文名

Beijing Municipal Commission of Housing and Urban-rural Development


成立时间

2009年

办公地址

北京市通州区达济街9号院

性    质

政府机构

行政级别

正局级

"
北京市教育委员会,,北京市教育委员会（简称市教委）是市政府组成部门，为正局级，加挂北京市语言文字工作委员会（简称市语委）、北京市人民政府教育督导室（简称市政府教育督导室）牌子，归口市委教育工作委员会领导。,"

中文名

北京市教育委员会

外文名

Beijing Municipal  Education Commission


办公地址

北京市前门西大街109号

性    质

政府机构

行政级别

正局级
[1] 

"
北京市科学技术委员会,"
北京市科学技术委员会
","北京市科学技术委员会是北京市人民政府组成部门，为正局级，挂北京市外国专家局牌子。
[1] 
","

中文名

北京市科学技术委员会

成立时间

2009年


办公地址

北京市通州区运河东大街57号院1号楼
[3] 

性    质

北京市人民政府组成部门
[1] 

行政级别

正局级
[1] 

"
国家市场监督管理总局,"
国家市场监督管理总局
","国家市场监督管理总局是国务院直属机构，为正部级。对外保留国家认证认可监督管理委员会、国家标准化管理委员会牌子。
[3] 
","

中文名

中华人民共和国国家市场监督管理总局

外文名

State Administration for Market Regulation
[5] 

成立时间

2018年3月21日


办公地址

北京市西城区三里河东路八号
[14] 

性    质

国务院直属机构

行政级别

正部级

"
北京市人民政府,,"中华人民共和国北京市人民政府是北京市的一级国家行政管理部门。地址：中国北京市通州区运河东大街57号。
[1] 
","

中文名

北京市人民政府

外文名

The people's Government of Beijing City

简    称

北京市政府

办公机构

北京市人民政府办公厅

办公地址

北京市通州区运河东大街57号


成立时间

1949年1月1日

现任市长

陈吉宁
[3] 

行政级别

省部级

官    网

http://www.beijing.gov.cn/

机构性质

国家行政机关

秘书长

戴彬彬
[28] 

"
北京市城市管理综合行政执法局,"
北京市城市管理综合行政执法局
",北京市城市管理综合行政执法局是根据北京市人民政府《北京市人民政府关于进一步推进城市管理领域相对集中行政处罚权工作的决定》（京政发〔2002〕24号）及市政府办公厅《北京市人民政府办公厅关于印发北京市城市管理综合行政执法局职能配置内设机构和人员编制规定的通知》（京政办发〔2002〕59号），原北京市城管监察办公室正式更名为北京市城市管理综合行政执法局，由北京市市政管理委员会负责管理，对外以自己的名义行使职权，开展工作。,"

中文名

北京市城市管理综合行政执法局

外文名

Beijing Urban Management Law Enforcement Bureau

主要职责

负责本市城管监察行政执法的指导


原    名

北京市城管监察办公室

所属地区

北京市

单位级别

副局级行政执法机构

"
北京市地方金融监督管理局,"
北京市地方金融监督管理局
","北京市地方金融监督管理局（简称市金融监管局），是市政府直属机构，为正局级，加挂北京市金融工作局（简称市金融局）牌子。
[1] 
","

中文名

北京市地方金融监督管理局

外文名

Beijing Local Financial Supervision and Administration


现任领导

李文红 
[2] 

行政级别

正局级
[1] 

机构属性

直属机构

"
中国人民银行营业管理部,"
中国人民银行营业管理部
","中国人民银行营业管理部是中国人民银行总行在北京的派驻机构，在辖区履行贯彻执行国家货币信贷政策、维护金融安全与稳定、提供金融服务、外汇管理等各项工作职责，并以此支持首都经济提质增效升级发展。中国人民银行营业管理部下辖中关村国家自主创新示范区中心支行。
[1] 
","

中文名

中国人民银行营业管理部

外文名

Business Administration Department of the people's Bank of China


别    名

北京市西城区月坛南街79号

所属地区

北京

所属单位

中国人民银行

"
北京市政务服务管理局,"
北京市政务服务管理局
",北京市政务服务管理局是北京市人民政府的直属单位，将北京市人民政府办公厅（北京市政务服务管理办公室）的政务服务、信息和政务公开职责，北京市政府审改办的职责等整合，新组建的单位 [1]  。,"

中文名

北京市政务服务管理局


组建时间

2018年11月16日

所属机构

北京市人民政府

"
中国银行保险监督管理委员会,"
中国银行保险监督管理委员会
","中国银行保险监督管理委员会（英文名称：China Banking and Insurance Regulatory Commission，简称：中国银保监会或银保监会）成立于2018年，是国务院直属事业单位，其主要职责是依照法律法规统一监督管理银行业和保险业，维护银行业和保险业合法、稳健运行，防范和化解金融风险，保护金融消费者合法权益，维护金融稳定。
[1-2] 
中国银行保险监督管理委员会是国务院直属事业单位，为正部级。
[3-4] 
","

中文名

中国银行保险监督管理委员会

外文名

China Banking and Insurance Regulatory Commission

成立时间

2018年4月8日

办公地址

北京市西城区金融大街甲15号
[26] 


性    质

国务院直属事业单位

行政级别

正部级

主    席

郭树清

主管部门

国务院

"
交通运输部,"
中华人民共和国交通运输部
","中华人民共和国交通运输部，简称交通运输部，英文：Ministry of Transport of the People's Republic of China，缩写为MOT。交通运输部是中华人民共和国国务院组成部门。
[22] 
","

中文名

中华人民共和国交通运输部
[1] 

外文名

Ministry of Transport of the People's Republic of China


办公地址

北京市建国门内大街11号
[19] 

性    质

国务院组成部门

部    长

李小鹏
[2] 

"
北京市高级人民法院,"
北京市高级人民法院
",北京市高级人民法院于1955年4月28日公告成立。法院审判办公楼现坐落于北京市朝阳区建国门南大街10号。全院有人员554人，正式在编人员中，本科以上学历占总人数的97.2%，其中博士28人，硕士160人，占总人数的43.5%。,"

中文名

北京市高级人民法院

区    位

北京市朝阳区

地    址

北京市朝阳区建国门南大街10号


邮政编码

100022

联系电话

010-12368

成立时间

1955年4月28日

院    长

寇昉
[3] 

"
北京市规划和国土资源管理委员会,"
北京市规划和国土资源管理委员会
","北京市规划和国土资源管理委员会成立于2016年7月22日，根据北京市委十一届十次全会相关部署，北京市人民政府决定：设立北京市规划和国土资源管理委员会。
[1] 
","

中文名

北京市规划和自然资源委员会

成立时间

2018年11月8日


属    性

组织机构

地    点

北京市

"
北京市园林绿化局,,北京市园林绿化局（简称市园林绿化局）是市政府直属机构，为正局级，加挂首都绿化委员会办公室（简称首都绿化办）牌子。,"

中文名

北京市园林绿化局

属    性

政府机构


地    区

北京市

简    称

市园林绿化局

"
中关村科技园区管理委员会,"
中关村科技园区管理委员会
",中关村科技园区管理委员会 [1]  (简称中关村管委会)是负责对中关村一区十六园(包括东城园、西城园、朝阳园、海淀园、丰台园、石景山园、门头沟园、房山园、通州园、顺义园、大兴-亦庄园、昌平园、平谷园、怀柔园、密云园、延庆园，以下简称园区)发展建设进行综合指导的市政府派出机构。,"

中文名

中关村科技园区管理委员会

源    于

20世纪80年代初电子一条街


办公地址

海淀区阜成路73号裕惠大厦

职    责

管理中关村一区十六园发展建设

主    任

许强
[2] 

"
北京市文物局,,"根据中共中央、国务院批准的北京市人民政府机构改革方案和《北京市人民政府关于根据中共中央、国务院批准的北京市人民政府机构改革方案和《北京市人民政府关于机构设置的通知》(京政发〔2009〕2号)，设立北京市文物局(简称市文物局)。市文物局是负责本市文物和博物馆事业管理工作的市政府直属机构。
[1] 
","

中文名

北京市文物局

地    址

北京市东城区府学胡同36号


设立时间

2009

内设机构

8个

行政编制

54名

"
北京市应急管理局,,北京市应急管理局（简称市应急局），是北京市人民政府组成部门，为正局级。北京市应急管理局和北京煤矿安全监察局合署办公。,"

中文名

北京市应急管理局

外文名

Beijing Emergency Management Bureau


办公地址

北京市通州区运河东大街57号院4号楼

性    质

政府机构

行政级别

正局级
[1] 

"
北京市公安局,,北京市公安局，是北京市人民政府下设主管全市公安工作的职能部门，公安局受市政府、公安部的双重领导。各区县设公安分县局，部分乡镇、街道设派出所，公安分县局和派出所分别接受同级人民政府和上级公安机关领导,"

中文名

北京市公安局

外文名

Beijing Municipal Public Security Bureau


办公地址

北京市东城区前门东大街9号

性    质

政府机构

行政级别

正局级

"
北京市生态环境局,,"北京市生态环境局（简称市生态环境局）,是市政府组成部门，为正局级。","

中文名

北京市生态环境局

外文名

Beijing Municipal Ecology and Environment Bureau


办公地址

北京市海淀区车公庄西路14号
[3] 

性    质

政府机构

行政级别

正局级
[8] 

"
北京市电力公司,"
国网北京市电力公司
",国网北京市电力公司于2008-01-28在北京市工商行政管理局登记成立。法定代表人李同智。,"

中文名

国网北京市电力公司

公司类型

有限责任公司(法人独资)


登记机关

北京市工商行政管理局

成立时间

2008年01月28日

发照时间

2016-05-19

"
北京市国家税务局,,北京市国家税务局由国家税务总局垂直管理，是北京市行政区域内实施国家税收征收管理的行政管理机关。主要工作任务是：在国家税务总局和北京市人民政府的领导下，贯彻执行国家税收法律、法规和规章，组织中央税收收入和中央、地方共享税税收和部分地方税税收收入，维护和规范税收秩序，为促进北京市的改革开放、经济建设服务。北京市国家税务局是主管北京市国家税收工作的职能部门，正厅级全职能局。根据国家税务总局有关文件规定，结合北京市实际情况，设置内设机构14个、直属机构2个、事业单位5个，下设区县（地区）国家税务局21个。,"

中文名

北京市国家税务局

地    区

北京市


内设机构

14个

类    别

政府部门

"
国家税务总局北京市税务局,"
国家税务总局北京市税务局
","2018年6月15日，根据《中共中央关于深化党和国家机构改革的决定》《国务院机构改革方案》和国家税务总局关于国税地税征管体制改革的部署要求，北京市国家税务局、地方税务局正式合并成立国家税务总局北京市税务局。
[1] 
","

中文名

国家税务总局北京市税务局

办公地址

北京市西城区车公庄大街8、10号
[19] 


成立日期

2018年6月15日

机构隶属

国家税务总局

局    长

张有乾

"
北京市水务局,,"北京市水务局（简称市水务局），是市政府组成部门，为正局级。
[3] 
","

中文名

北京市水务局

外文名

Beijing Water Authority


办公地址

北京市海淀区玉渊潭南路5号

性    质

政府机构

行政级别

正局级

"
北京市工商行政管理局,"
北京市工商行政管理局
","北京市工商行政管理局（Beijing Administration for Industry and Commerce，英文缩写BAIC），是负责本市市场监督管理工作的市政府直属机构，主要职能是：依法确认各类经营者的主体资格，监督管理或参与监督管理各类市场，保护经营者和消费者合法权益，查处经济违法行为，取缔非法经营，保护正常的市场经济秩序。 
[1] 
","

中文名

北京市工商行政管理局

外文名

Beijing Administration for Industry and Commerce

英文缩写

BAIC


荣誉称号

第二批全国文明单位

局    长

冀岩

地    址

北京市海淀区苏州街36号

"
北京市市场监督管理局,"
北京市市场监督管理局
","北京市市场监督管理局（简称市市场监管局）是市政府组成部门，为正局级，加挂北京市食品药品安全委员会办公室（简称市食安委办）牌子。
[4] 
","

中文名

北京市市场监督管理局

外文名

Beijing Municipal Bureau of market supervision and Administration


成立时间

2018年11月16日

办公地址

北京市海淀区苏州街36号

性    质

政府机构

行政级别

正局级

"
国家知识产权局,,国家知识产权局是国家市场监督管理总局管理的国家局，为副部级。,"中文名
中华人民共和国国家知识产权局
外文名
China National Intellectual Property Administration
办公地址北京市海淀区蓟门桥西土城路6号
性    质
部委管理局
行政级别
副部级"
财政部,"
中华人民共和国财政部
",中华人民共和国财政部是中华人民共和国国务院组成部门，为正部级。其前身为1949年10月1日成立的中央人民政府财政部。,"

中文名

中华人民共和国财政部


官    网

www.mof.gov.cn/index.htm

部    长

刘昆
[3] 

"
北京市人民政府办公厅,"
北京市人民政府办公厅
","北京市人民政府办公厅（简称市政府办公厅）是市政府工作机构，为正局级。
[1] 
北京市人民政府办公厅贯彻落实党中央的方针政策、决策部署和市委有关工作要求，在履行职责过程中坚持和加强党的集中统一领导。
[1] 
","

中文名

北京市人民政府办公厅

外文名

General Office of Beijing Municipal People's Government

办公地址

北京市通州区运河东大街57号
[1] 


行政级别

正局级
[1] 

机构属性

政府工作部门

现任领导

靳伟
[2] 

"
北京市医疗保险事务管理中心,"
北京市医疗保险事务管理中心
",北京市医疗保险事务管理中心是北京市人社局直属单位。,"

中文名

北京市医疗保险事务管理中心


隶属单位

北京市人社局

"
北京市第一中级人民法院,"
北京市第一中级人民法院
",北京市第一中级人民法院于1995年5月10日成立，下设19个审判机构和10个职能部门。北京市第一中级人民法院管辖海淀、石景山、昌平、门头沟、延庆五区县法律规定由其审理的第一审案件及上述区县人民法院的上诉、抗诉案件。负责审理辖区内危害国家安全、恐怖活动的和可能判处无期徒刑、死刑的第一审刑事案件；在本辖区有重大影响的第一审民事案件、经济纠纷案件、行政案件；对辖区法院的判决或者裁定提出的上诉或抗诉案件；人民检察院按照审判监督程序提出的抗诉案件。涉及住所地在西城区的国家部委的第一审行政案件，也由北京市第一中级人民法院审理。,"

中文名

北京市第一中级人民法院

区    位

北京市石景山区

地    址

北京市石景山区石景山路16号


邮政编码

100040

联系电话

010-68639038

成立时间

1995年05月10日

"
北京市司法局,,根据中共中央、国务院批准的北京市人民政府机构改革方案和《北京市人民政府关于机构设置的通知》（京政发〔2009〕2号），设立北京市司法局（简称市司法局）。北京市司法局是负责本市司法行政工作的市政府组成部门。市司法局设14个内设机构和政治部，机关政法专项编制234名。,"

中文名

北京市司法局

办公地址

北京市通州区运河东大街57号


性    质

政府机构

行政级别

正局级

局    长

崔杨

"
北京市大兴区人民政府,"
北京市大兴区人民政府
",北京市大兴区人民政府是北京市大兴区人民代表大会的执行机关，是北京市大兴区的一级国家行政机关；对大兴区人民代表大会和北京市人民政府负责；在大兴区人民代表大会闭幕期间，对大兴区人民代表大会常务委员会负责并报告工作。,"

中文名

北京市大兴区人民政府

办公地址

北京市大兴区兴政街15号


性    质

国家行政机关

现任区长

刘学亮
[8] 

"
北京市医疗保障局,,"北京市医疗保障局是按照《北京市机构改革实施方案》，将市人力资源和社会保障局的城镇职工和城镇居民基本医疗保险、生育保险、新型农村合作医疗职责，市发展和改革委员会的药品和医疗服务价格管理职责，市民政局的医疗救助职责等整合，组建北京市医疗保障局，为市政府直属机构。
[1] 
","

中文名

北京市医疗保障局


隶    属

北京市人民政府

"
